Site_ID,Center_Name,Permit_Holder,Address,Borough,Zip_Code,Phone,Permit_Number,Permit_Expiration_Date,Permit_Status,Age_Range,Maximum_Capacity,Certified_to_Administer_Medication,Site_Type,Number_Of_Violations,Hazard_Violations,Critical_Violations,General_Violations,Number_Of_Visits,Mean_Violations_Per_Visit,Score,Mean_Rank,Mean_Cat,Score_Rank,Score_Cat,Lat,Lon
DC2133,BROADWAY PRESBYTERIAN CHURCH  NURSERY SCHOOL,BROADWAY PRESBYTERIAN CHURCH,601 WEST 114TH STREET,MANHATTAN,10025,212-864-6100,5754,2014-02-28,Expired-InRenewal,2 YEARS - 5 YEARS,32,No,Private,8,0,4,4,4,2.0,3.0,1441,Bottom 30%,1299,Average,40.8070493,-73.96507410000001
DC15142,BRONX  EARLY  LEARNING CENTER,VOLUNTEERS OF AMERICA - GREATER NEW YORK,1887 BATHGATE AVENUE,BRONX,10457,718-466-3580,7801,2015-09-21,Permitted,2 YEARS - 5 YEARS,272,Yes,Private,1,0,1,0,4,0.25,0.5,353,Top 15%,389,Top 30%,40.846494,-73.897626
DC2090,BRONX  EARLY CHILDHOOD CENTER,THE CHILDREN'S AID SOCIETY,1515 SOUTHERN BOULEVARD,BRONX,10460,718-764-2409,7444,2015-09-05,Permitted,2 YEARS - 5 YEARS,102,Yes,ACS Contracted Preschools,8,2,1,5,4,2.0,3.25,1440,Bottom 30%,1372,Bottom 30%,40.83321,-73.890618
DC1826,BRONX BAPTIST DAY CARE & LEARNING CENTER,BRONX BAPTIST CHURCH,331 EAST 187 STREET,BRONX,10458,718-933-4201,2894,2016-04-30,Permitted,2 YEARS - 5 YEARS,40,Yes,Private,16,0,7,9,5,3.2,4.6,1920,Bottom 15%,1704,Bottom 30%,40.8598211,-73.8953758
DC19116,BRONX COMMUNITY COLLEGE EARLY CHILDHOOD CENTER,"BRONX COMMUNITY COLLEGE ASSOCIATION, INC.",2010 SEDGWICK AVENUE,BRONX,10453,718-289-5461,8278,2015-04-07,Permitted,2 YEARS - 5 YEARS,115,No,ACS Contracted Preschools,7,2,2,3,3,2.33333,4.33333,1644,Bottom 30%,1648,Bottom 30%,40.8595935,-73.91326509999999
DC19406,BRONX DAY CARE CENTER,"BRONX DAY CARE CENTER, INC.",559 EAST TREMONT AVE,BRONX,10457,718-299-2275,8143,2016-03-25,Permitted,0 YEARS - 2 YEARS,20,No,Private,8,0,6,2,6,1.33333,2.33333,1127,Average,1071,Average,40.846721,-73.894842
DC17640,BRONX DAYCARE,BRONX DAY CARE,559 EAST TREMONT AVE,BRONX,10457,718-299-2275,7951,2014-11-03,Permitted,2 YEARS - 5 YEARS,50,No,Private,15,1,8,6,8,1.875,3.125,1412,Bottom 30%,1335,Bottom 30%,40.846721,-73.894842
DC608,BRONX HOUSE,"BRONX HOUSE, INC.",2222 WALLACE AVENUE,BRONX,10467,718-653-1044,1356,2014-10-23,Permitted,2 YEARS - 5 YEARS,72,No,Private,15,2,7,6,4,3.75,6.5,2020,Bottom 15%,1974,Bottom 15%,40.8583113,-73.864669
DC1577,BRONX HOUSE,BRONX HOUSE,990 PELHAM PARKWAY SOUTH,BRONX,10462,718-792-1800,6697,2015-12-05,Permitted,2 YEARS - 5 YEARS,102,No,Private,15,3,6,6,7,2.14286,3.85714,1567,Bottom 30%,1535,Bottom 30%,40.8568036,-73.8602861
DC18383,BRONX ORGANIZATION FOR THE LEARNING DISABLED OF NEW YORK,"BRONX ORGANIZATION FOR THE LEARNING DISABLED OF NEW YORK,INC.",2885 ST. THERESA AVENUE,BRONX,10461,718-430-0981,8043,2015-07-11,Permitted,2 YEARS - 5 YEARS,90,No,Private,19,3,4,12,5,3.8,5.8,2031,Bottom 15%,1904,Bottom 15%,40.849607,-73.83271049999999
DC11656,BRONX PARK EAST PREPARATORY INC.,"BRONX PARK EAST PREPARATORY, INC.",2270 BRONX PARK EAST,BRONX,10467,718-882-3261,7140,2015-08-14,Permitted,2 YEARS - 5 YEARS,20,No,Private,2,0,1,1,4,0.5,0.75,522,Top 30%,482,Top 30%,40.859283,-73.870409
DC1623,BRONX RIVER EARLY LEARN CENTER,"TREMONT CROTONA DAY CARE CENTER,INC.",1555 EAST 174 STREET,BRONX,10472,718-842-6582,6464,2015-02-27,Permitted,2 YEARS - 5 YEARS,60,No,ACS Contracted Preschools,6,2,0,4,5,1.2,2.0,1002,Average,958,Average,40.8343471,-73.8789728
DC22849,"BRONX WORKS, INC.","BRONX WORKS, INC.",1472 MONTGOMERY AVENUE,BRONX,10453,718-299-0493,51998,2015-09-16,Permitted,2 YEARS - 5 YEARS,55,No,Private,2,1,1,0,1,2.0,5.0,1426,Bottom 30%,1788,Bottom 30%,40.847414,-73.920905
DC1624,BRONXDALE NURSERY AND KINDERGARTEN,BRONXDALE TENANTS LEAGUE DAY CARE CENTER INC.,1065 -1085 BEACH AVENUE,BRONX,10472,718-991-8315,1137,2015-06-26,Permitted,2 YEARS - 5 YEARS,60,No,ACS Contracted Preschools,11,5,3,3,6,1.83333,4.0,1397,Bottom 30%,1590,Bottom 30%,40.8274881,-73.86536629999999
DC12272,BRONXWORKS EARLY CHILDHOOD CENTER,BRONXWORK,1130 GRAND CONCOURSE,BRONX,10456,718-508-3056,7302,2015-01-05,Permitted,2 YEARS - 5 YEARS,55,No,ACS Contracted Preschools,12,2,4,6,5,2.4,4.0,1677,Bottom 30%,1592,Bottom 30%,40.8326053,-73.9187582
DC22406,BROOKLYN AMITY SCHOOL,BROOKLYN AMITY SCHOOL,3867 SHORE PARKWAY,BROOKLYN,11235,718-891-6100,18399,2014-06-27,Expired-InRenewal,2 YEARS - 5 YEARS,30,No,Private,13,2,5,6,6,2.16667,3.66667,1582,Bottom 30%,1480,Bottom 30%,40.5863848,-73.9324985
DC23211,BROOKLYN BRIDGE CHILD DEVELOPMENT CENTER MANAGED BY BRIGHT HORIZONS,BRIGHT HORIZONS CHILDREN'S CENTERS LLC.,101 WILLOUGHBY STREET,BROOKLYN,11201,718-855-9725,35398,2015-03-13,Permitted,0 YEARS - 2 YEARS,48,No,Private,8,2,3,3,4,2.0,3.75,1428,Bottom 30%,1504,Bottom 30%,40.6921329,-73.9838822
DC23212,BROOKLYN BRIDGE CHILD DEVELOPMENT CENTER MANAGED BY BRIGHT HORIZONS,BRIGHT HORIZONS CHILDREN'S CENTERS LLC.,101 WILLOUGHBY STREET,BROOKLYN,11201,718-855-9725,35377,2015-03-12,Permitted,2 YEARS - 5 YEARS,58,No,Private,6,1,3,2,3,2.0,3.66667,1429,Bottom 30%,1489,Bottom 30%,40.6921329,-73.9838822
DC2118,BROOKLYN CHILD CARE,"BROOKLYN CHILD CARE, INCORPORATED",800 POLY PLACE,BROOKLYN,11209,718-630-2831,6344,2015-01-24,Permitted,2 YEARS - 5 YEARS,25,No,Private,3,0,3,0,5,0.6,1.2,564,Top 30%,624,Top 30%,40.6085933,-74.0238603
DC1701,BROOKLYN CHINESE-AMERICAN ASSOCIATION,"BROOKLYN CHINESE- AMERICAN ASSOCIATION, INC",5002 8 AVENUE,BROOKLYN,11220,718-438-0008,6615,2014-12-05,Permitted,2 YEARS - 5 YEARS,58,No,Private,5,0,2,3,3,1.66667,2.33333,1294,Average,1068,Average,40.641128,-74.004032
DC22379,BROOKLYN CHINESE-AMERICAN ASSOCIATION,BROOKLYN CHINESE-AMERICAN ASSOCIATION,6409 20TH AVENUE,BROOKLYN,11204,718-438-0008,48297,2015-07-18,Permitted,2 YEARS - 5 YEARS,70,No,ACS Contracted Preschools,5,1,2,2,2,2.5,4.5,1720,Bottom 30%,1681,Bottom 30%,40.6166259,-73.98519900000001
DC14499,BROOKLYN CHINESE-AMERICAN ASSOCIATION,"BROOKLYN CHINESE AMERICAN ASSOCIATION, INC.",812 54TH STREET,BROOKLYN,11220,718-438-0008,6939,2015-03-08,Permitted,2 YEARS - 5 YEARS,147,No,ACS Contracted Preschools,14,3,9,2,5,2.8,5.8,1817,Bottom 30%,1908,Bottom 15%,40.638469,-74.005821
DC267,BROOKLYN DEVELOPMENTAL CENTER EARLY CHILDHOOD SERVICES,"BROOKLYN DEVELOPMENTAL CENTER EARLY CHILDHOOD SERVICES, INC.",888 FOUNTAIN AVENUE,BROOKLYN,11208,718-235-8800,6448,2014-11-30,Permitted,2 YEARS - 5 YEARS,42,No,ACS Contracted Preschools,17,3,11,3,6,2.83333,5.66667,1827,Bottom 30%,1882,Bottom 15%,40.65508699999999,-73.865338
DC1661,BROOKLYN FREE SPACE,BROOKLYN FREE SPACE,298 6 AVENUE,BROOKLYN,11215,718-965-3135,7522,2015-10-28,Permitted,2 YEARS - 5 YEARS,65,Yes,Private,7,1,4,2,4,1.75,3.25,1338,Bottom 30%,1371,Bottom 30%,40.6722376,-73.9804691
DC1773,BROOKLYN HEIGHTS MONTESSORI SCHOOL,BROOKLYN HEIGHTS MONTESSORI SCHOOL,185 COURT STREET,BROOKLYN,11201,718-858-5100,5914,2015-06-12,Permitted,2 YEARS - 5 YEARS,12,No,Private,1,0,0,1,3,0.333333,0.333333,430,Top 30%,289,Top 15%,40.6878839,-73.992898
DC11,BROOKLYN HEIGHTS SYNAGOGUE PRESCHOOL,BROOKLYN HEIGHTS SYNAGOGUE,131 REMSEN STREET,BROOKLYN,11201,718-522-2070,7126,2015-07-06,Permitted,2 YEARS - 5 YEARS,80,No,Private,1,0,1,0,5,0.2,0.4,273,Top 15%,317,Top 15%,40.693949,-73.993157
DC61,BROOKLYN INSTITUTE FOR CHILDREN,"B.I.C. DAY CARE CENTER, INC.",110 LENOX ROAD,BROOKLYN,11226,347-663-5467,6379,2015-02-26,Permitted,2 YEARS - 5 YEARS,19,No,Private,40,6,23,11,10,4.0,7.5,2067,Bottom 15%,2066,Bottom 15%,40.653467,-73.9556838
DC31956,BROOKLYN KIDS ACADEMY,"BKA OF NY, LLC",250 UTICA AVENUE,BROOKLYN,11213,917-750-1063,71398,2016-08-04,Permitted,2 YEARS - 5 YEARS,100,No,Private,0,0,0,0,0,,,,No Data,,No Data,40.669967,-73.931658
DC25257,BROOKLYN SANDBOX EARLY LEARNING CENTER,"BROOKLYN SANDBOX, LLC",548 6TH AVENUE,BROOKLYN,11215,718-369-0033,72477,2016-08-20,Permitted,2 YEARS - 5 YEARS,39,No,Private,0,0,0,0,0,,,,No Data,,No Data,40.6642,-73.98748599999999
DC25590,BROOKLYN TOTS ACADEMY & DAY CARE CENTER-PRESCHOOL,ELITE KIDS SERVICES INC.,2211 CONEY ISLAND AVENUE,BROOKLYN,11223,718-375-2002,52498,2015-09-26,Permitted,2 YEARS - 5 YEARS,57,No,Private,10,2,6,2,2,5.0,10.0,2136,Bottom 5%,2142,Bottom 5%,40.6032414,-73.9615442
DC25894,BROOKLYN TOTS ACADEMY & DAY CARE SERVICES-INFANT/TODDLER,"ELITE KIDS SERVICES, INC",2211 CONEY ISLAND AVENUE,BROOKLYN,11223,917-545-6363,52497,2015-09-26,Permitted,0 YEARS - 2 YEARS,7,No,Private,1,0,0,1,1,1.0,1.0,819,Average,576,Top 30%,40.6032414,-73.9615442
DC25280,BROOKLYN TREEHOUSE PRESCHOOL,WILLIAM V. ARMENTANO,639 4TH AVENUE,BROOKLYN,11232,718-499-1234,64158,2016-05-13,Permitted,2 YEARS - 5 YEARS,65,No,Private,0,0,0,0,0,,,,No Data,,No Data,40.663498,-73.99431899999999
DC2876,BROTHERHOOD SYNAGOGUE NURSERY SCHOOL,BROTHERHOOD SYNAGOGUE,28 GRAMERCY PARK SOUTH,MANHATTAN,10003,212-995-9867,6975,2016-06-02,Permitted,2 YEARS - 5 YEARS,51,No,Private,4,0,2,2,4,1.0,1.5,817,Average,748,Average,40.73706,-73.9853849
DC19895,BRYAN'S EDUCATIONAL CENTER,"BRYAN'S EDUCATIONAL CENTER, INC.",3922 CHURCH AVENUE,BROOKLYN,11203,718-282-6944,8112,2015-12-21,Permitted,2 YEARS - 5 YEARS,49,No,Private,8,2,3,3,5,1.6,3.0,1272,Average,1307,Average,40.651029,-73.9402209
DC422,BRYAN'S EDUCATIONAL CENTER,"BRYAN'S EDUCATIONAL CENTER, INC.",3924 CHURCH AVENUE,BROOKLYN,11203,718-282-6944,5362,2015-09-19,Permitted,2 YEARS - 5 YEARS,61,No,Private,8,1,5,2,5,1.6,3.0,1269,Average,1308,Average,40.651033,-73.940147
DC21879,BUBBLE BEES DAY CARE - PRESCHOOL,"BUBBLE BEE DAY CARE,LLC",76 LORRAINE STREET,BROOKLYN,11231,718-858-8111,13318,2016-03-08,Permitted,2 YEARS - 5 YEARS,77,Yes,Private,11,2,6,3,5,2.2,4.2,1600,Bottom 30%,1618,Bottom 30%,40.67437510000001,-74.0068798
DC21878,"BUBBLE BEES DAY CARE, LLC.","BUBBLE BEE DAYCARE, LLC.",76 LORRAINE STREET,BROOKLYN,11231,718-858-8111,13297,2016-03-08,Permitted,0 YEARS - 2 YEARS,34,Yes,Private,13,2,7,4,6,2.16667,4.0,1585,Bottom 30%,1589,Bottom 30%,40.67437510000001,-74.0068798
DC2210,BUCKLE MY SHOE NURSERY SCHOOL,TRIBECA NURSERY CENTER INC,230 WEST 13 STREET,MANHATTAN,10011,212-807-0518,4842,2016-01-22,Permitted,2 YEARS - 5 YEARS,30,No,Private,5,1,1,3,3,1.66667,2.66667,1309,Average,1185,Average,40.7383438,-74.0017435
DC14187,BUCKLE MY SHOE NURSERY SCHOOL,"TRIBECA NURSERY CENTER, INC.",40 WORTH STREET,MANHATTAN,10013,212-374-1489,5820,2014-07-15,Expired-InRenewal,2 YEARS - 5 YEARS,74,No,Private,10,4,2,4,2,5.0,10.0,2129,Bottom 5%,2141,Bottom 5%,40.71713630000001,-74.006901
DC1478,BUCKLE MY SHOE NURSERY SCHOOL,"TRIBECA NURSERY CENTER,INC.",40 WORTH STREET,MANHATTAN,10013,212-374-1489,5849,2015-03-03,Permitted,0 YEARS - 2 YEARS,31,No,Private,6,3,3,0,3,2.0,5.0,1434,Bottom 30%,1799,Bottom 30%,40.71713630000001,-74.006901
DC31738,BUILDING BLOCKS DAY CARE,BUILDING BLOCKS DAY CARE LLC,6810 20 AVENUE,BROOKLYN,11204,718-331-2595,64698,2016-05-20,Permitted,2 YEARS - 5 YEARS,24,No,Private,0,0,0,0,1,0.0,0.0,181,Top 5%,198,Top 5%,40.614724,-73.988107
DC22824,BUILDING BLOCKS PRESCHOOL,"KREATIVE KARE DAY CARE CENTER, INC.",455-459 WILSON AVENUE,BROOKLYN,11221,718-443-1333,30158,2015-01-04,Permitted,2 YEARS - 5 YEARS,31,No,Private,0,0,0,0,3,0.0,0.0,156,Top 5%,196,Top 5%,40.693154,-73.9122427
DC24602,BUILDING BLOCKS PRESCHOOL,"KREATIVE KARE DAY CARE CENTER, INC.",455-459 WILSON AVENUE,BROOKLYN,11221,718-443-1333,29858,2014-12-31,Permitted,0 YEARS - 2 YEARS,15,No,Private,0,0,0,0,3,0.0,0.0,133,Top 5%,194,Top 5%,40.693154,-73.9122427
DC25650,"BUILDING BRIDGES MT, SINAI",BUILDING BRIDGES LLC,250 CADMAN PLAZA WEST,BROOKLYN,11201,347-334-6474,51877,2015-09-11,Permitted,2 YEARS - 5 YEARS,25,No,Private,0,0,0,0,2,0.0,0.0,145,Top 5%,229,Top 5%,40.6969432,-73.9914391
DC22707,BUMBLEBEES PS1,"BUMBLEBEES DAY CARE PS 1, INC.",501 8TH STREET,BROOKLYN,11215,718-499-9800,35178,2015-03-11,Permitted,2 YEARS - 5 YEARS,24,Yes,Private,13,2,5,6,5,2.6,4.4,1750,Bottom 30%,1655,Bottom 30%,40.666613,-73.978717
DC24779,BUMBLEBEES-R-US,"BUMBLEBEES-R-US, INC.",4301 10TH AVENUE,BROOKLYN,11219,718-438-7040,27117,2014-11-13,Permitted,2 YEARS - 5 YEARS,30,Yes,ACS Contracted Preschools,14,1,9,4,6,2.33333,4.16667,1651,Bottom 30%,1612,Bottom 30%,40.64216500000001,-73.995103
DC24778,BUMBLEBEES-R-US,"BUMBLEBEES-R-US, INC.",969  43RD STREET,BROOKLYN,11219,718-438-7040,27118,2014-11-13,Permitted,2 YEARS - 5 YEARS,13,Yes,ACS Contracted Preschools,0,0,0,0,3,0.0,0.0,213,Top 5%,233,Top 5%,40.642702,-73.99534799999999
DC20249,BUMBLEBEES-R-US DAY CARE CENTER,"BUMBLEBEES-R-US, INC",2813 FARRAGUT ROAD,BROOKLYN,11210,718-434-2337,27077,2014-11-13,Permitted,2 YEARS - 5 YEARS,80,Yes,Private,44,13,29,2,15,2.93333,6.6,1839,Bottom 30%,1991,Bottom 15%,40.6362043,-73.9493739
DC23196,BUMBLEBEES-R-US INC,BUMBLEBEES-R-US INC,2813 FARRAGUT ROAD,BROOKLYN,11210,718-434-2337,27057,2014-11-13,Permitted,0 YEARS - 2 YEARS,28,Yes,Private,52,10,39,3,14,3.71429,7.92857,2017,Bottom 15%,2090,Bottom 5%,40.6362043,-73.9493739
DC20489,BUMBLEBEES-R-US INFANTS,BUMBLEBEES-R-US INC. (I(/T),2734 VICTORY BLVD.,STATEN ISLAND,10314,718-494-4448,8097,2015-12-07,Permitted,0 YEARS - 2 YEARS,18,No,Private,0,0,0,0,4,0.0,0.0,43,Top 5%,240,Top 5%,40.6086529,-74.152652
DC20490,BUMBLEBEES-R-US PRESCHOOL,BUMBLEBEES-R-US INC.,2734 VICTORY BLVD.,STATEN ISLAND,10314,718-494-4448,8098,2015-12-07,Permitted,2 YEARS - 5 YEARS,40,No,Private,17,4,7,6,9,1.88889,3.55556,1416,Bottom 30%,1455,Bottom 30%,40.6086529,-74.152652
DC24741,"BUMBLEBEES-R-US, INC.","BUMBLEBEES-R-US, INC.",76 LORRAINE STREET,BROOKLYN,11231,718-858-8111,23657,2014-10-01,Permitted,2 YEARS - 5 YEARS,40,Yes,ACS Contracted Preschools,21,4,11,6,9,2.33333,4.44444,1649,Bottom 30%,1671,Bottom 30%,40.67437510000001,-74.0068798
DC754,BURATINO INTERNATIONAL DAY CARE,"BURATINO INTERNATIONAL DAY CARE, INC.",2962 BRIGHTON 1ST STREET,BROOKLYN,11235,718-368-2113,6520,2016-01-21,Permitted,2 YEARS - 5 YEARS,40,No,Private,5,0,5,0,6,0.833333,1.66667,751,Average,803,Average,40.5790685,-73.9668472
DC21184,BUSHWICK UNITED EARLY LEARN,BUSHWICK UNITED HOUSING DEVELOPMENT FUND CORPORATION,152 MANHATTAN AVENUE,BROOKLYN,11206,718-388-4298,8202,2016-07-01,Permitted,2 YEARS - 5 YEARS,110,Yes,ACS Contracted Preschools,19,3,8,8,6,3.16667,5.5,1915,Bottom 15%,1867,Bottom 15%,40.7080542,-73.9447725
DC178,BUSHWICK UNITED EARLY LEARN,BUSHWICK UNITED HOUSING DEVELOPMENT FUND CORPORATION,331 CENTRAL AVENUE,BROOKLYN,11221,718-453-9040,5235,2016-02-13,Permitted,2 YEARS - 5 YEARS,35,Yes,ACS Head Start,9,2,5,2,7,1.28571,2.57143,1066,Average,1163,Average,40.6949372,-73.91959860000001
DC24753,BUSHWICK UNITED HEAD START,BUSHWICK UNITED HOUSING DEVELOPMENT FUND CORPORATION,200 CENTRAL AVENUE,BROOKLYN,11221,718-453-5500,23599,2014-09-29,Permitted,2 YEARS - 5 YEARS,130,No,ACS Contracted Preschools,13,0,9,4,6,2.16667,3.66667,1579,Bottom 30%,1494,Bottom 30%,40.698353,-73.92602099999999
DC24752,BUSHWICK UNITED HEAD START,BUSHWICK UNITED HOUSING DEVELOPMENT FUND CORPORATION,600 HART STREET,BROOKLYN,11221,347-695-1562,23377,2014-09-27,Permitted,2 YEARS - 5 YEARS,110,No,ACS Contracted Preschools,0,0,0,0,3,0.0,0.0,56,Top 5%,157,Top 5%,40.6975651,-73.9281701
DC24751,BUSHWICK UNITED HEAD START,"BUSHWICK UNITED HOUSING DEVELOPMENT FUND CORPORATION, INC.",741 FLUSHING AVENUE,BROOKLYN,11206,347-497-3676,23718,2014-10-01,Permitted,2 YEARS - 5 YEARS,72,No,ACS Contracted Preschools,3,0,0,3,3,1.0,1.0,811,Average,530,Top 30%,40.70081,-73.943224
DC804,BUSHWICK UNITED HEAD START,BUSHWICK UNITED HOUSING DEVELOPMENT FUND CORPORATION,77 WILSON AVENUE,BROOKLYN,11237,718-821-2345,6200,2014-09-13,Permitted,2 YEARS - 5 YEARS,72,No,ACS Head Start,7,1,5,1,8,0.875,1.75,772,Average,818,Average,40.7020613,-73.9277415
DC14467,BUSHWICK UNITED HS/ EARLY LEARN CENTER,"BUSHWICK UNITED HOUSING DEVELOPMENT FUND, CORPORATION",136 STANHOPE STREET,BROOKLYN,11221,718-443-0134,7448,2015-09-19,Permitted,2 YEARS - 5 YEARS,128,Yes,ACS Head Start,7,2,5,0,7,1.0,2.28571,809,Average,1060,Average,40.6981781,-73.922882
DC18019,BUSHWICK UNITED/JACKIE JOHNSON HEAD START,BUSHWICK UNITED HOUSING DEVELOPMENT FUND CORPORATION,178 LEONARD STREET,BROOKLYN,11206,347-296-8152,7923,2014-09-23,Permitted,2 YEARS - 5 YEARS,39,No,ACS Head Start,7,1,2,4,5,1.4,2.2,1141,Average,1005,Average,40.7101488,-73.9468443
DC1212,BUSY BEACH DAY CARE CENTER - P/S,"BUSY BEACH DAY CARE CENTER, INC.",777 SEAVIEW AVENUE,STATEN ISLAND,10305,718-667-2861,5031,2014-11-06,Permitted,2 YEARS - 5 YEARS,32,No,Private,0,0,0,0,5,0.0,0.0,59,Top 5%,151,Top 5%,40.582822,-74.07866299999999
DC14870,BUSY BEACH DAY CARE CENTER I/T,"BUSY BEACH DAY CARE CENTER, INC.",777 SEAVIEW AVENUE,STATEN ISLAND,10305,718-667-2861,7667,2015-11-06,Permitted,0 YEARS - 2 YEARS,15,No,Private,0,0,0,0,6,0.0,0.0,15,Top 5%,150,Top 5%,40.582822,-74.07866299999999
DC19590,BUTTERCUP DAYCARE,"BUTTERCUP DAYCARE, INC.",16 GLENMORE AVENUE,BROOKLYN,11212,347-378-2808,8268,2015-03-21,Permitted,2 YEARS - 5 YEARS,19,No,Private,5,1,0,4,4,1.25,1.75,1036,Average,831,Average,40.6712964,-73.9086152
DC18770,BUTTERFLY,BUTTERFLY 1 INC.,2770 EAST 16TH STREET,BROOKLYN,11235,718-646-6272,7896,2016-07-22,Permitted,2 YEARS - 5 YEARS,47,No,Private,1,0,0,1,4,0.25,0.25,347,Top 15%,274,Top 15%,40.584103,-73.952984
DC937,BUTTERFLY DAY CARE,BUTTERFLY INC.,2810 NOSTRAND AVENUE,BROOKLYN,11229,718-677-9343,6527,2016-03-31,Permitted,2 YEARS - 5 YEARS,51,No,Private,3,0,0,3,3,1.0,1.0,806,Average,582,Top 30%,40.6158758,-73.9447871
DC19048,"BWY, INC.","BWY, INC.",77-14 ROOSEVELT AVENUE,QUEENS,11372,718-205-4855,7939,2014-10-08,Permitted,2 YEARS - 5 YEARS,155,No,Private,2,0,0,2,5,0.4,0.4,479,Top 30%,335,Top 15%,40.7471986,-73.888048
DC10945,C.P.C. JACOB RIIS CHILD CARE CENTER,"CHINESE AMERICAN PLANNING COUNCIL, INC.",108 AVENUE D,MANHATTAN,10009,212-533-9138,6418,2015-07-01,Permitted,0 YEARS - 2 YEARS,10,Yes,ACS Contracted Preschools,7,0,5,2,6,1.16667,2.0,985,Average,977,Average,40.7235251,-73.9760955
DC654,CALVARY DAY CARE CENTER,"JOHN PEATS, PASTOR/THE CALVARY CHURCH OF THE NAZARENE",474 EAST 96 STREET,BROOKLYN,11212,718-495-9271,6066,2015-07-28,Permitted,2 YEARS - 5 YEARS,25,No,Private,31,4,15,12,8,3.875,6.75,2039,Bottom 15%,2004,Bottom 15%,40.656155,-73.916416
DC2265,CAMBRIA CENTER FOR THE GIFTED CHILD.,CAMBRIA CENTER FOR THE GIFTED CHILD,233-10 LINDEN BOULEVARD,QUEENS,11411,718-341-1991,6688,2014-12-20,Permitted,2 YEARS - 5 YEARS,12,No,Private,2,1,1,0,5,0.4,1.0,472,Top 30%,546,Top 30%,40.6909597,-73.7285687
DC16674,CAMBRIA HEIGHTS CHRISTIAN ACADEMY,CAMBRIA HEIGHTS GOSPEL CHAPEL,220-12 LINDEN BOULEVARD,QUEENS,11411,718-712-7034,8287,2015-04-13,Permitted,2 YEARS - 5 YEARS,82,No,Private,4,0,3,1,6,0.666667,1.16667,645,Top 30%,612,Top 30%,40.6949346,-73.7395312
DC18586,CANARSIE CHILDHOOD CENTER,CANARSIE CHILDHOOD CENTER INC.,611 EAST 76TH STREET,BROOKLYN,11236,718-241-9211,50357,2015-08-15,Permitted,2 YEARS - 5 YEARS,120,No,Private,3,0,1,2,2,1.5,2.0,1210,Average,951,Average,40.6360169,-73.9186756
DC22754,CANARSIE'S LITTLE EINSTEINS,CANARSIE'S LITTLE EINSTEINS,8413 AVENUE K,BROOKLYN,11236,516-882-2300,23857,2014-10-02,Permitted,2 YEARS - 5 YEARS,98,No,Private,19,7,7,5,8,2.375,5.0,1673,Bottom 30%,1804,Bottom 30%,40.63437589999999,-73.9063042
DC10599,CANDY KID'S PRESCHOOL DCC LLC,JANET LAWRENCE,3212 CHURCH AVENUE,BROOKLYN,11226,718-287-6200,7123,2015-08-03,Permitted,0 YEARS - 2 YEARS,14,No,Private,12,3,3,6,5,2.4,4.2,1690,Bottom 30%,1619,Bottom 30%,40.650638,-73.947194
DC14436,CANDY KIDS DAY CARE CENTER,JANET LAWRENCE,3212 CHURCH AVENUE,BROOKLYN,11226,718-287-6200,7127,2015-09-29,Permitted,2 YEARS - 5 YEARS,65,No,Private,12,3,3,6,6,2.0,3.5,1454,Bottom 30%,1442,Bottom 30%,40.650638,-73.947194
DC1628,CARDINAL MC CLOSKEY DAY CARE CENTER SITE 2,CARDINAL MC CLOSKEY SCHOOL & HOME FOR CHILDREN,899 EAST 180 STREET,BRONX,10460,718-220-3355,4856,2014-11-04,Permitted,2 YEARS - 5 YEARS,107,No,ACS Contracted Preschools,19,3,10,6,7,2.71429,5.0,1795,Bottom 30%,1791,Bottom 30%,40.8450412,-73.8823322
DC133,CARRIE MASTRONARDI EARLY CHILDHOOD EDUCATION CENTER,"THE GUILD FOR EXCEPTIONAL CHILDREN, INC.",1273 57 STREET,BROOKLYN,11219,718-435-2554,4357,2014-09-21,Permitted,2 YEARS - 5 YEARS,264,Yes,Private,14,3,9,2,2,7.0,14.5,2171,Bottom 5%,2172,Bottom 5%,40.6307961,-73.9971553
DC19367,CARRIG MONTESSORI SCHOOL,CARRIG MONTESSORI LLC,100 MASPETH AVENUE,BROOKLYN,11211,718-388-1040,8152,2016-04-05,Permitted,2 YEARS - 5 YEARS,41,No,Private,4,0,0,4,5,0.8,0.8,710,Average,499,Top 30%,40.71583469999999,-73.9392696
DC32129,CAS STATEN ISLAND FAMILY SERVICES CENTER,THE CHILDREN'S AID SOCIETY,465 VILLA AVENUE,STATEN ISLAND,10302,718-273-5403,71157,2016-07-31,Permitted,2 YEARS - 5 YEARS,30,No,Private,0,0,0,0,1,0.0,0.0,80,Top 5%,178,Top 5%,40.6294924,-74.1427574
DC21182,CASA MONTESSORI,"CASA MONTESSORI, LLC",119 UNION STREET,BROOKLYN,11231,347-889-7309,8563,2015-11-17,Permitted,2 YEARS - 5 YEARS,25,No,Private,0,0,0,0,4,0.0,0.0,91,Top 5%,172,Top 5%,40.6845962,-74.0031879
DC1221,CASTLE  DAY CARE  INFANT/TODDLER,CASTLE DAY CARE CENTER CORP.,1141 CASTLETON AVENUE,STATEN ISLAND,10310,718-447-3140,6650,2015-05-17,Permitted,0 YEARS - 2 YEARS,36,No,Private,0,0,0,0,5,0.0,0.0,39,Top 5%,169,Top 5%,40.6344939,-74.120445
