Site ID,Visit Date,Regulation Summary,Violation Category,Code-Sub-Section,Violation Status
DC17817,12/12/2013,At time of inspection it was determined that child care service allows staff to perform their duties that are not healthy or are incapable of carrying out their duties. Staff medical clearances are not maintained by child care service.,CRITICAL,47.33 (b),CORRECTED
DC17817,12/12/2013,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),CORRECTED
DC17817,12/12/2013,At time of inspection it was determined that child care service failed to ensure staff received required training within time frames and/or failed to maintain training records.,GENERAL,47.37 (b)(1),CORRECTED
DC15549,05/20/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC1263,03/10/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC24674,03/17/2014,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),CORRECTED
DC24673,11/08/2013,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),CORRECTED
DC24673,11/08/2013,At time of inspection it was determined that child care service failed to conduct and document monthly fire drills.,CRITICAL,47.59 (d),CORRECTED
DC16955,12/12/2013,Child care service failed to provide constant and competent supervision for children within its care.,PUBLIC HEALTH HAZARD,47.23 (a)(b)*,CORRECTED
DC16955,12/12/2013,At time of inspection toxic substances observed improperly stored so as to result in the potential for exposure or contamination of facility surfaces.,CRITICAL,47.49 (c),CORRECTED
DC16955,12/12/2013,Fire extinguishers observed not to be inspected or maintained at time of inspection.,PUBLIC HEALTH HAZARD,47.59 (b)+*,CORRECTED
DC16955,12/12/2013,At time of inspection it was determined/observed that food service worker not provided with appropriate food thermometer during food prep.,GENERAL,81.09 (i),CORRECTED
DC2971,05/28/2014,Exits and other egress not provided with required signage at time of inspection.,CRITICAL,47.59 (a),CORRECTED
DC14324,05/28/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC10976,05/01/2014,Child care service providing care without a staff member trained in First Aid/CPR on site at time of inspection.,CRITICAL,47.23 (e),CORRECTED
DC10976,05/01/2014,At time of inspection child care service failed to provide sufficient lighting and or failed to maintain adequate foot candles in areas used by children.,GENERAL,47.45 (b),CORRECTED
DC10976,05/01/2014,At time of inspection it was determined that child care service failed to conduct and document monthly fire drills.,CRITICAL,47.59 (d),CORRECTED
DC10976,05/01/2014,Individual certified in food protection not on site during periods of food preparation.,CRITICAL,81.15 (a),CORRECTED
DC14867,02/19/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC21575,12/12/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC2338,05/30/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC20738,02/18/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC10856,02/26/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC10542,01/29/2014,At time of inspection it was determined that child care service allows staff to perform their duties that are not healthy or are incapable of carrying out their duties. Staff medical clearances are not maintained by child care service.,CRITICAL,47.33 (b),CORRECTED
DC10542,01/29/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),CORRECTED
DC11686,12/04/2013,At time of inspection child care service failed to provide sufficient lighting and or failed to maintain adequate foot candles in areas used by children.,GENERAL,47.45 (b),
DC20562,02/04/2014,Child care service providing care without a staff member trained in First Aid/CPR on site at time of inspection.,CRITICAL,47.23 (e),CORRECTED
DC21530,05/23/2014,Child care service/camp obstructed DOHMH staff from conducting duties of the Department at the time of inspection.,PUBLIC HEALTH HAZARD,3.15*,
DC21530,05/23/2014,Child care service providing care without a staff member trained in First Aid/CPR on site at time of inspection.,CRITICAL,47.23 (e),
DC21530,05/23/2014,Required food protection procedures were not implemented at time of inspection. Holder of food protection certificate was not on site during hours of food preparation activity.,PUBLIC HEALTH HAZARD,47.61 (a)*,
DC3012,05/29/2014,At time of inspection unwholesome food; food not in compliance with nutritional guidelines or of inadequate serving size was observed being served.,GENERAL,47.61 (b),CORRECTED
DC21128,05/14/2014,Number of children in attendance exceeds approved maximum child capacity.,PUBLIC HEALTH HAZARD,47.05 (b)*,CORRECTED
DC21128,05/14/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),
DC21128,05/14/2014,At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.,CRITICAL,47.57 (b),
DC1306,06/02/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC1268,04/03/2014,At time of inspection it was determined that child care service allows staff to perform their duties that are not healthy or are incapable of carrying out their duties. Staff medical clearances are not maintained by child care service.,CRITICAL,47.33 (b),CORRECTED
DC1268,04/03/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),
DC1268,04/03/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),CORRECTED
DC3006,10/03/2013,At time of inspection it was observed that child care service failed to provide appropriate guards on designated structures/equipment to protect children from potential injury.,CRITICAL,47.41 (h),CORRECTED
DC3006,10/03/2013,Appropriate outdoor play area not provided or maintained at the time of inspection.,GENERAL,47.47 (a),CORRECTED
DC3006,10/03/2013,Outdoor play area was observed not maintained nor free of hazards or nuisances at time of inspection.,CRITICAL,47.47 (e),CORRECTED
DC3006,10/03/2013,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),CORRECTED
DC3006,10/03/2013,At time of inspection trash and garbage observed not stored in appropriate containers with tight fitting lids.,GENERAL,47.49 (b),CORRECTED
DC3006,10/03/2013,At time of inspection it was determined that child care service failed to take appropriate action to keep facility free of pests or conditions conducive to pests. Child care service fails to maintain extermination service log.,GENERAL,47.51 (b),CORRECTED
DC3006,10/03/2013,At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.,CRITICAL,47.57 (b),CORRECTED
DC3006,10/03/2013,Electrical/chemical/mechanical hazards observed at time of inspection.,PUBLIC HEALTH HAZARD,47.59 (f)*,CORRECTED
DC14296,05/16/2014,At time of inspection it was determined that child care service allows staff to perform their duties that are not healthy or are incapable of carrying out their duties. Staff medical clearances are not maintained by child care service.,CRITICAL,47.33 (b),
DC14295,09/24/2013,At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.,CRITICAL,47.57 (b),CORRECTED
DC1566,03/25/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC3046,03/04/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC2139,05/27/2014,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),
DC2139,05/27/2014,At time of inspection it was determined that child care service failed to conduct and document monthly fire drills.,CRITICAL,47.59 (d),
DC2139,05/27/2014,Individual certified in food protection not on site during periods of food preparation.,CRITICAL,81.15 (a),
DC22047,11/06/2013,At time of inspection it was determined that child care service failed to conduct and document monthly fire drills.,CRITICAL,47.59 (d),CORRECTED
DC22047,11/06/2013,Required smoke and carbon monoxide detectors not provided or maintained at time of inspection.,CRITICAL,47.59 (g),CORRECTED
DC22048,11/06/2013,At the time of inspection child care service was observed providing hair brushes and cloth towels for use by children.,GENERAL,47.35 (c),CORRECTED
DC22048,11/06/2013,At time of inspection lavatory facilities failed to be provided with child high/accessible toilets and sinks.,CRITICAL,47.43 (f)+,CORRECTED
DC22048,11/06/2013,Individual certified in food protection not on site during periods of food preparation.,CRITICAL,81.15 (a),CORRECTED
DC20047,01/14/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),CORRECTED
DC424,12/03/2013,Windows excluding fire escape windows in a child care service observed without window guards in a child care service.,PUBLIC HEALTH HAZARD,47.41 (e)+*,CORRECTED
DC11861,01/17/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC11863,10/16/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC10532,01/23/2014,At time of inspection it was determined that child care service allows staff to perform their duties that are not healthy or are incapable of carrying out their duties. Staff medical clearances are not maintained by child care service.,CRITICAL,47.33 (b),CORRECTED
DC10532,01/23/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),CORRECTED
